"","Date","Existing","New"
"1",2012-03-01,25151525.84,NA
"2",2012-04-01,24406048.39,NA
"3",2012-05-01,28249539.01,NA
"4",2012-06-01,28691364.32,NA
"5",2012-07-01,28535707.45,NA
"6",2012-08-01,25793520.64,NA
"7",2012-09-01,21915641.66,NA
"8",2012-10-01,21203562.52,NA
"9",2012-11-01,21736158.96,NA
"10",2012-12-01,21962976.75,NA
"11",2013-01-01,20322683.64,NA
"12",2013-02-01,19829620.75,NA
"13",2013-03-01,22717069.85,NA
"14",2013-04-01,21625385.04,NA
"15",2013-05-01,23000152.4,NA
"16",2013-06-01,24755406.2,NA
"17",2013-07-01,26803105.56,NA
"18",2013-08-01,22600217.01,NA
"19",2013-09-01,21401265.74,NA
"20",2013-10-01,19296578.09,NA
"21",2013-11-01,20489773.49,NA
"22",2013-12-01,21715706.67,NA
"23",2014-01-01,22544458.38,NA
"24",2014-02-01,21262413.12,NA
"25",2014-03-01,23247168.62,NA
"26",2014-04-01,22541987.92,NA
"27",2014-05-01,25943046.75,NA
"28",2014-06-01,24782178.43,NA
"29",2014-07-01,24263117.59,NA
"30",2014-08-01,21879988.86,NA
"31",2014-09-01,18407263.58,NA
"32",2014-10-01,19497571.95,NA
"33",2014-11-01,19444753.17,NA
"34",2014-12-01,19240384.75,NA
"35",2015-01-01,20088529.29,NA
"36",2015-02-01,19772333.34,NA
"37",2015-03-01,24608406.71,NA
"38",2015-04-01,21559729.45,NA
"39",2015-05-01,25792074.59,NA
"40",2015-06-01,27212464.15,NA
"41",2015-07-01,26338477.15,NA
"42",2015-08-01,23130626.6,NA
"43",2015-09-01,20774415.93,NA
"44",2015-10-01,20359980.58,NA
"45",2015-11-01,21936906.81,NA
"46",2015-12-01,20462899.3,NA
"47",2016-01-01,20705352.0554787,2435923.77123279
"48",2016-02-01,20110037.3357618,2365886.74538375
"49",2016-03-01,23667529.4356348,2784415.22772174
"50",2016-04-01,22453552.6715992,2641594.43195285
"51",2016-05-01,25493363.1644098,2999219.19581292
"52",2016-06-01,25858644.4915942,3042193.46959932
"53",2016-07-01,26340298.8530432,3098858.68859332
"54",2016-08-01,23118849.495352,2719864.646512
"55",2016-09-01,20624065.2285849,2426360.61512764
"56",2016-10-01,20267315.9745922,2384390.1146579
"57",2016-11-01,21293661.3128823,2505136.62504497
"58",2016-12-01,21089480.4060061,2481115.34188307
