"","Existing.Stores","New.Stores"
"Jan-16",20909491.3094869,2280806.04407709
"Feb-16",20283371.1222543,2232667.38411719
"Mar-16",23529207.6249118,2589895.40411133
"Apr-16",22144520.8378606,2442775.33144746
"May-16",25382486.0748894,2823159.56833865
"Jun-16",25810911.0823142,2883011.12064273
"Jul-16",25941958.6795623,2904616.30080144
"Aug-16",22852173.1062535,2501153.76793053
"Sep-16",20274170.0485467,2217926.06858462
"Oct-16",19861133.7131712,2171186.78261447
"Nov-16",20549528.4679871,2246931.23339365
"Dec-16",20769227.7613331,2291809.97966892
