"","store","year","dry_grocery","dairy","frozen_food","meat","produce","floral","deli","bakery","general_merchandise","total","cluster","total_sales"
"4","S0001",2015,46.1347256191005,10.3083711135117,7.71992455083211,10.7677407544427,9.71710393775539,0.676943284562813,4.35499280928625,3.55438762077167,6.76581030973681,100,2,23508945.82
"8","S0002",2015,45.7527949083223,10.6387614827823,7.88409295330154,11.4903453863337,10.1259398448973,0.743805882092398,3.97924175500091,2.97015275080536,6.41486503646414,100,2,17334619.57
"12","S0003",2015,42.1349090976034,10.2356277155029,6.90274951881105,11.4712737477345,12.5398810093972,0.963139266251228,4.17608010835744,3.6108020398531,7.96553749648918,100,3,30240661.99
"16","S0004",2015,45.4559842754878,9.71110184142129,8.02771438209139,12.7727655160358,10.0409215003823,0.611962840234595,4.17852448894909,3.44687102573432,5.75415412966342,100,2,27913890.97
"20","S0005",2015,44.016875132642,10.6268088711872,8.63385221704154,10.1863261521421,13.1112051480084,0.887725043115851,3.53892143446514,2.26068609695603,6.73759990444179,100,3,27825886.17
"24","S0006",2015,45.9835154055703,9.86092204573974,7.44431349925711,10.6915913135008,10.1782028967436,0.826503917669204,4.63088698912904,3.54168899377193,6.84237493861833,100,2,34625420.87
"28","S0007",2015,44.208679782917,10.21349578005,8.91698520746595,11.513459312441,10.344684308253,0.783833378592739,4.6297658936312,3.0176372202992,6.37145911634982,100,2,30863087.31
"32","S0008",2015,42.8456854340607,10.8732133262435,8.0321463815009,10.6877729076464,12.3696355013802,0.785879599969307,3.26226575362249,2.23977415146481,8.90362694411169,100,3,29181879.77
"36","S0009",2015,44.2252268953612,10.0376118680609,7.70513630038108,11.8908012197526,10.3507489386628,0.728825603574164,4.42039365223496,2.57563410955321,8.06562141241904,100,2,40678620.31
"40","S0010",2015,43.1445351653699,11.4961550563779,8.03417423039272,10.71483008579,12.1628835822001,1.03830223153172,3.70989502705743,3.80513668048399,5.89408794079622,100,3,21703928.12
"44","S0011",2015,45.3793380919971,9.39842835591386,7.18815074426862,12.1442549402539,9.84667243065493,0.789639566108304,4.87167833623751,3.24408447063268,7.13775306393307,100,2,22395673.62
"48","S0012",2015,46.5998768635106,9.72651219234045,7.43573582524037,11.4390617854775,9.43147434933285,0.682503713999212,4.50660924528401,1.8591681158939,8.31905790892111,100,2,49186541.13
"52","S0013",2015,44.5549198216577,9.07223203159591,7.53523969528447,11.4048296509886,9.26613700325087,0.791171794016964,4.62765957654582,3.42805992967668,9.31975049698302,100,2,39169150.41
"56","S0014",2015,44.4373274837776,9.77680803721067,7.71851405440994,9.86968258450803,10.6849081709651,1.0659684666936,3.49266385554973,2.05489027403506,10.8992370728502,100,1,30987962.62
"60","S0015",2015,44.7967998890744,9.87655457204677,7.78688036281488,9.99899973651004,10.4974713807682,0.768547417941352,3.49771429126951,2.5105510094483,10.2664813401266,100,1,37353757.66
"64","S0016",2015,47.7239619743208,9.14353402378919,7.80635774118771,11.0087162711957,8.84690342907746,0.625166618426264,4.60523709288869,2.87200400890398,7.36811884021023,100,2,23352796.79
"68","S0017",2015,43.8116993273505,10.0133160689425,7.87773101710674,9.76993045896475,13.3662869881643,1.33899763487328,4.08569571217438,2.82389209953048,6.91245069289307,100,3,31540952.65
"72","S0018",2015,45.2848213075289,9.88272389158994,7.90166214707334,10.6061652512203,10.9021685092393,0.931750366199868,4.30237420262296,3.49657931584203,6.69175500868334,100,2,24278729.39
"76","S0019",2015,48.2712613087087,9.74662858851899,7.78811602630268,11.1624447453436,9.47995388573608,0.575530073708122,3.24576706679243,1.95928193976559,7.77101636512384,100,1,19682144.37
"80","S0020",2015,45.8778303182511,10.7141868797983,7.78717048351563,10.8469030798015,10.9103941304215,0.839495529133403,3.81525787650225,2.94363327225544,6.26512843032089,100,3,23970811.4
"84","S0021",2015,43.2833234600513,12.2189831779614,8.64529274413007,8.6197893616519,14.8002996284327,0.89507399784538,3.65788347834196,2.81656625761714,5.06278789396813,100,3,21742449.28
"88","S0022",2015,47.0503431463498,9.66283640903134,7.59484373723227,10.6098599676139,9.21528434376763,0.866128333172006,4.3142140303507,3.40527371649703,7.28121631598527,100,2,28489431.71
"92","S0023",2015,43.6646714709336,10.8651507935284,8.43224203049988,10.959789212196,10.7050713054769,0.948391071238628,3.83357064506782,3.61889929494987,6.97221417610904,100,3,17688112.54
"96","S0024",2015,45.5110408758624,10.4005289264275,8.21412576727629,10.4835874980517,11.0498111280515,0.53915082386341,4.11309197782855,2.29546853905356,7.39319446358521,100,1,24523501.43
"100","S0025",2015,46.2041738907353,10.467268443724,7.96288290882616,10.4944114597717,11.1705642679959,0.530403059458313,4.22825777274656,3.07064714029296,5.87139105644904,100,2,31318921.91
"104","S0026",2015,45.7669123656383,10.5388489730619,7.84236654079941,9.98834930322337,11.3664812640095,0.833377302946742,3.76578896626549,3.05639652456416,6.84147875949107,100,3,21220147.15
"108","S0027",2015,44.6684730684161,10.4030116792427,7.76425647194134,9.93901874802969,13.2244501734567,1.62544345995726,2.97228332082429,2.3370460815232,7.06601699660872,100,3,26550184.65
"112","S0028",2015,45.2980599401,10.3237472308796,7.89614608685116,11.9143713094658,11.6528949395721,0.353182781104101,3.72980527562706,3.01457788568993,5.8172145507103,100,2,17311101.58
"116","S0029",2015,44.1263950206524,9.94249497292626,7.29609317973494,13.1544898335709,9.91925142424708,0.62195814780678,4.28653903554216,1.78216882865222,8.87060955686722,100,2,33606658.38
"120","S0030",2015,44.0520504924867,10.9386389669384,7.07962450825259,11.1383818185255,11.6304307924223,0.830499168187675,4.80720944280536,3.05700383310603,6.46616097727535,100,2,25497338
"124","S0031",2015,45.5930952692041,10.3004622725724,7.77075455575365,11.2896789036101,8.8000970011137,0.628855550312096,3.87200021845039,2.03314907339554,9.71190715558803,100,1,29269437.14
"127","S0032",2015,44.8562656713772,9.42288805740419,7.32268856963959,11.5746723270164,9.64920884690196,0.650928543639581,4.00096161324733,2.34743669952205,10.1749496712517,100,1,24165557.27
"131","S0033",2015,43.8858984724824,10.1837250572847,7.9851266764097,11.881945163266,11.3193726327669,0.900292836230859,4.08085268701766,2.80110008384205,6.96168639069973,100,3,32960487.75
"135","S0034",2015,43.6937823157789,10.3669439680227,8.25283661355263,10.9581219977518,11.4689477411482,1.16731273721125,4.42126778996623,2.90537027216168,6.76541656440652,100,3,31050056.12
"139","S0035",2015,46.4232502896669,10.1083279793684,7.88602193566722,12.2160663856574,8.79664059063439,0.724108295614934,4.04211614512236,2.92662018619186,6.87684819207652,100,2,18365221.17
"143","S0036",2015,49.4458380760763,9.46800780089668,8.03417994221715,10.07038330333,9.80869212330217,0.581731151521918,3.05783915458015,1.58822730182635,7.94510114624924,100,1,17827104.45
"146","S0037",2015,43.1724572510807,9.78222499873371,7.7042189350063,10.8129774821963,11.3851503106076,0.819292469640003,3.9828865303187,2.03087663841954,10.3099153839971,100,1,31286950.57
"150","S0038",2015,44.2159338490808,10.7957659522757,8.30823211565312,11.8933724191579,10.5235839581947,0.751692894439923,3.79382745865356,2.87773711108518,6.83985424145918,100,3,20632448.59
"154","S0039",2015,45.2662713141568,10.9018974101455,7.40224277896915,13.7618963423933,7.39484848040786,0.690328683906737,3.5527061673321,4.73044749862616,6.29936132406248,100,2,21361323.01
"158","S0040",2015,43.4125640560184,9.93277238851378,7.53175662052148,12.8818531644439,12.2698523619283,0.809004465646529,3.95434169444432,1.89113094661921,7.31672430186399,100,2,37025722.69
"162","S0041",2015,46.2020344757775,10.5856317785839,8.26159780607152,10.2735030646755,9.50757307712221,0.683894942681535,4.99109724005887,2.79189748983948,6.70277012518942,100,2,25267518.33
"166","S0042",2015,46.7815579697194,9.92723896887447,7.9712598190491,11.6922943383262,9.52164011531642,0.591722228947585,4.67005030177178,2.8719857279993,5.97225052999577,100,2,40361802.94
"170","S0043",2015,44.7822878841721,10.2788602459739,8.1695260212588,10.6441573848147,11.5498558517619,0.852612643326147,3.76262367789252,2.54114374189086,7.41893254890907,100,3,27158493.58
"174","S0044",2015,44.3887103714864,10.0262503384354,7.64269420061215,12.6128886568582,10.511899892722,0.566029117585935,4.09873150869746,3.70546804168472,6.44732787191783,100,2,35532265.7
"178","S0045",2015,44.4903415553738,10.2931496722557,8.38306437869857,9.18046002612888,10.5098837939904,0.931633941437611,3.87173422908128,2.25267703045805,10.0870553725757,100,1,42304090.96
